taxon,level,source,description,desc_len
Repnoa,genus,wikipedia.org,"Repnoa is a genus of moths in the family Megalopygidae. It contains only one species, Repnoa imparilis, which is found in French Guiana.
The wingspan is about 24 millimetres (0.94 in). The antennae are ochreous and the palpi and frons blackisli brown. There are white hairs at the base of the antennae. The vertex is pale yellow and the collar and thorax are dark grey. The patagia is white and the abdomen is brown, black above, whitish underneath. There is a subdorsal patch at the base, and pale yellow anal hairs. The forewings are grey, with the costa, veins and fringe white and with a faint whitish shade from the cell at vein 2 to the inner margin. The hindwings are darker grey, with the fringe white and with a whitish spot at the end of the cell.


== Subspecies ==
Repnoa imparilis imparilis
Repnoa imparilis alba Hopp, 1927


== References ==

Beccaloni, George; et al. (eds.). ""Search Results Family: Megalopygidae"". The Global Lepidoptera Names Index. Natural History Museum, London.


== Further reading ==
Dognin, Paul (1922). ""Repnoa amazonica sp. nov."". Hétérocères nouveaux de l'Amérique du Sud. Vol. 20. Rennes: Imprimerie Oberthur. p. 29.",1160
Repnoa,genus,artfakta.se,,0
Aleyda,genus,butterfliesandmoths.org,,0
Aleyda,genus,wikipedia.org,,0
Aleyda,genus,artfakta.se,,0
Podalia,genus,butterfliesandmoths.org,,0
Podalia,genus,wikipedia.org,"Podalia is a genus of moths in the family Megalopygidae.


== Species ==
Podalia albescens (Schaus, 1900)
Podalia amarga (Schaus, 1905)
Podalia angulata (Hopp, 1922)
Podalia annulipes (Boisduval, 1833)
Podalia bolivari Heylaerts, 1884
Podalia cincinnata (Dognin, 1922)
Podalia contigua (Walker, 1866)
Podalia dimidiata (Herrich-Schäffer, 1856)
Podalia dyari (Joicey & Talbot)
Podalia fuscescens Walker, 1856
Podalia gamelia (Druce, 1904)
Podalia guaya (Schaus, 1927)
Podalia habitus (H. Edwards, 1887)
Podalia intermaculata Dognin, 1916
Podalia lanocrispa E. D. Jones, 1912
Podalia mallas (Druce, 1899)
Podalia marmorata (Rothschild, 1910)
Podalia nivosa E. D. Jones, 1912
Podalia orsilochus (Cramer, 1775)
Podalia pedacia (Druce, 1906)
Podalia pellucens Dognin
Podalia pedacioides Dognin, 1916
Podalia prolecta (Hopp, 1935)
Podalia pseudopedacia Dognin, 1916
Podalia schadei Schaus, 1924
Podalia thanatos Schaus, 1905
Podalia tympania (Druce, 1897)
Podalia walkerensis Hopp, 1935
Podalia walkeri (Berg, 1882)


== References ==
Beccaloni, G.; Scoble, M.; Kitching, I.; Simonsen, T.; Robinson, G.; Pitkin, B.; Hine, A.; Lyal, C., eds. (2003). ""​Podalia​"". The Global Lepidoptera Names Index. Natural History Museum. Retrieved May 16, 2018.",1239
Podalia,genus,artfakta.se,,0
Bedosia,genus,butterfliesandmoths.org,,0
Bedosia,genus,wikipedia.org,,0
Bedosia,genus,artfakta.se,,0
Lacosoma,genus,butterfliesandmoths.org,,0
Lacosoma,genus,wikipedia.org,"Lacosoma is a genus of sack-bearer moths in the family Mimallonidae. There are at least 30 described species in Lacosoma.


== Species ==
These 30 species belong to the genus Lacosoma:

Data sources: i = ITIS, c = Catalogue of Life, g = GBIF, b = Bugguide.net


== References ==


== Further reading ==


== External links ==",325
Lacosoma,genus,artfakta.se,,0
Alheita,genus,butterfliesandmoths.org,,0
Alheita,genus,wikipedia.org,,0
Alheita,genus,artfakta.se,,0
Druentica,genus,butterfliesandmoths.org,,0
Druentica,genus,wikipedia.org,,0
Druentica,genus,artfakta.se,,0
Roelmana,genus,butterfliesandmoths.org,,0
Roelmana,genus,wikipedia.org,,0
Roelmana,genus,artfakta.se,,0
Cicinnus,genus,butterfliesandmoths.org,,0
Cicinnus,genus,wikipedia.org,,0
Cicinnus,genus,artfakta.se,,0
Bedosiallo,genus,butterfliesandmoths.org,,0
Bedosiallo,genus,wikipedia.org,,0
Bedosiallo,genus,artfakta.se,,0
Trogoptera,genus,butterfliesandmoths.org,,0
Trogoptera,genus,wikipedia.org,,0
Trogoptera,genus,artfakta.se,,0
Eloria,genus,butterfliesandmoths.org,,0
Eloria,genus,wikipedia.org,"Eloria is a genus of moths in the subfamily Lymantriinae. The genus was erected by Francis Walker in 1855.


== Species ==
Eloria contains the following species:


== References ==",180
Eloria,genus,artfakta.se,,0
Caviria,genus,butterfliesandmoths.org,,0
Caviria,genus,wikipedia.org,"Palpi minute and porrect (projecting forward). Antennae bipectinated where the branches are longer in males and short in females. Hind tibia has one pair of spurs. Forewings with vein 3 from before angle of cell. Veins 4 and 5 from angle. Vein 6 from upper angle. Veins 7, 8 and 9 are stalked. Hindwings with vein 3 from before angle of cell. Veins 4 and 5 from angle and veins 6 and 7 from upper angle.",403
Caviria,genus,artfakta.se,,0
Vipsophobetron,genus,butterfliesandmoths.org,,0
Vipsophobetron,genus,wikipedia.org,,0
Vipsophobetron,genus,artfakta.se,,0
Vipsania,genus,butterfliesandmoths.org,,0
Vipsania,genus,wikipedia.org,"Vipsania Agrippina (; unknown – 20 AD) was the first wife of the Emperor Tiberius. She was the daughter of Marcus Vipsanius Agrippa and Attica, thus being a granddaughter of Titus Pomponius Atticus, the best friend of Cicero.


== Biography ==
She was betrothed by Augustus and her father to Tiberius, the stepson of Augustus, before her first birthday. They were married around 19 BC. Their son, Drusus Julius Caesar, was born in 14 BC.
Despite Vipsania and Tiberius enjoying a happy marriage, Augustus ordered the two to divorce after the death of Vipsania's father, who was married to Augustus's daughter Julia the Elder. Even though Tiberius wished to remain with Vipsania and held disdain for Julia for her purported unfaithfulness, Augustus engaged him to Julia in order to link Tiberius's growing power to the Julian family. At the time of their divorce, Vipsania was pregnant with a second child, who did not survive.
Tiberius divorced Vipsania against his will in 11 BC (non sine magno angore animi [""not without great mental anguish""], according to Suetonius) and never ceased to rue his action. On one occasion Tiberius caught sight of Vipsania and followed her with an intent and tearful gaze. Precautions were taken to avoid further embarrassing meetings with her.
In 11 BC she married Gaius Asinius Gallus, a Senator and son of the famous orator Gaius Asinius Pollio. They had at least six sons and maybe one or more daughters. Vipsania Agrippina died in AD 20, a few days after the ovation of her son Drusus, which took place on 28 May.
Tiberius hated Gallus, not least because Gallus claimed that Drusus was his own son. In 30, at Tiberius' instigation, the Senate was to declare Gallus a public enemy. He died in prison in 33, of starvation.


== Issue ==
Vipsania and Gallus' known sons were:

Gaius Asinius Pollio – Consul in 23; exiled as an accuser of a conspiracy and later was put to death on orders from Empress Valeria Messalina.
Marcus Asinius Agrippa – Consul in 25 and died in the end of 26. Tacitus describes him as ""not unworthy of his ancestors"". His son Marcus Asinius Marcellus was Consul in 54, at the time when the Emperor Claudius died.
Asinius Saloninus (possibly Gnaeus Asinius Saloninus, sometimes wrongly called Salonius) – died in 22. Tacitus describes him as an ‘eminent’ person. Saloninus was intended to marry one of the granddaughters of Emperor Tiberius.
Servius Asinius Celer – was consul suffectus in 38. From Emperor Caligula he purchased a fish at an enormous price. He is mentioned in the satire, by Seneca, The Pumpkinification of Claudius, where he is listed among the many people killed by that emperor; his death probably occurred sometime before mid-47. Asinius Celer seems to have had a daughter by the name of Asinia Agrippina, though her existence is obscure.
Asinius Gallus (possibly Lucius Asinius Gallus, sometimes wrongly called Gallo) – in 46 he conspired against Claudius and was forced to go into exile. Cassius Dio describes him as being ""very small and ugly"". Later rehabilitated, he became Consul in 62.
Gnaeus Asinius – his existence is recorded by the townsfolk of Puteoli, whose patron he was. Nothing else is known about him. It has been proposed that he have been identical with Asinius Saloninus or the foregoing Asinius Gallus but since Asinius Gallus seems to have been Lucius Asinius Gallus who became a Consul in 60, by exclusion of parts Gnaeus Asinius may be the Asinius Saloninus.
Besides their sons Vipsania and Gallus likely had at least one daughter, but possibly more. Pomponia Graecina was a distinguished lady married to Aulus Plautius, and appears to have been a daughter of a daughter of Vipsania. Plautius was a general in the conquest of Britain, which he received as a military ovation. Nero murdered their son, reportedly because Agrippina the Younger, mother of Nero, was in love with him and encouraged him to bid for the throne.
Tacitus states that Vipsania was the only one of Agrippa's children to die a natural death. She was one of the leading women of her time; and between 21 and 23, her son Drusus honored her memory with statues, coins and inscriptions.


== Cultural depictions ==
Robert Graves' novel I, Claudius mentions Tiberius following Vipsania with his eyes after their divorce, referencing Suetonius (Lives of the Twelve Caesars, Tiberius, 7).
The television adaptation went somewhat further, the second episode included a fairly lengthy scene between Tiberius and Vipsania on the eve of her second marriage, with Tiberius upset and regretting their divorce. She was played by Sheila Ruskin.
Deadline announced in December 2022 that Vipsania would be depicted once more on television screens as part of Sky and MGM+’s second season of Domina, played by actress Joelle.


== Notes ==


== External links ==
Roman coinage and additional information on Vipsania Agrippina",4882
Vipsania,genus,artfakta.se,,0
Venadicodia,genus,butterfliesandmoths.org,,0
Venadicodia,genus,wikipedia.org,,0
Venadicodia,genus,artfakta.se,,0
Tanadema,genus,butterfliesandmoths.org,,0
Tanadema,genus,wikipedia.org,,0
Tanadema,genus,artfakta.se,,0
Talima,genus,butterfliesandmoths.org,,0
Talima,genus,wikipedia.org,,0
Talima,genus,artfakta.se,,0
Semyra,genus,butterfliesandmoths.org,,0
Semyra,genus,wikipedia.org,,0
Semyra,genus,artfakta.se,,0
Megalopyge,genus,butterfliesandmoths.org,,0
Megalopyge,genus,wikipedia.org,"Megalopyge is a genus of moths in the family Megalopygidae.


== Species ==
Megalopyge affinis (Druce, 1887)
Megalopyge albicollis (Walker, 1855)
Megalopyge amita Schaus, 1900
Megalopyge amitina Dognin, 1912
Megalopyge apicalis (Herrich-Schäffer, 1856)
Megalopyge braulio Schaus
Megalopyge brunneipennis (Schaus, 1905)
Megalopyge chrysocoma (Herrich-Schäffer, 1856)
Megalopyge crispata (Packard, 1864)
Megalopyge defoliata (Walker, 1855)
Megalopyge dyari Hopp, 1935
Megalopyge hina (Dognin, 1911)
Megalopyge hyalina (Schaus, 1905)
Megalopyge immaculata (Cassino, 1928)
Megalopyge inca Hopp, 1935
Megalopyge krugii (Dewitz, 1897)
Megalopyge lacyi (Barnes & McDunnough, 1910)
Megalopyge lampra Dyar, 1910
Megalopyge lanata (Stoll, 1780)
Megalopyge lanceolata Dognin, 1923
Megalopyge lapena Schaus, 1896
Megalopyge lecca (Druce, 1890)
Megalopyge megalopygae (Schaus, 1905)
Megalopyge nuda (Stoll, 1789)
Megalopyge obscura (Schaus, 1905)
Megalopyge opercularis (Smith & Abbot, 1797)
Megalopyge ovata (Schaus, 1896)
Megalopyge perseae (Dognin, 1891)
Megalopyge peruana Hopp, 1935
Megalopyge pixidifera (Smith & Abbot, 1797)
Megalopyge ravida (Druce, 1887)
Megalopyge radiata Schaus, 1892
Megalopyge salebrosa (Clemens, 1860)
Megalopyge tharops (Stoll, 1782)
Megalopyge torva Schaus, 1912
Megalopyge trossula (Dognin, 1891)
Megalopyge trujillina Dyar, 1910
Megalopyge undulata (Herrich-Schäffer, 1858)
Megalopyge urens Berg, 1882
Megalopyge uruguayensis Berg, 1882
Megalopyge victoriana Schaus, 1927
Megalopyge vulpina Schaus, 1900
Megalopyge xanthopasa (Sepp, 1828)


== Selected former species ==
Megalopyge orsilochus (Cramer, [1775])


== References ==
Beccaloni, G.; Scoble, M.; Kitching, I.; Simonsen, T.; Robinson, G.; Pitkin, B.; Hine, A.; Lyal, C., eds. (2003). ""​Megalopyge​"". The Global Lepidoptera Names Index. Natural History Museum. Retrieved May 16, 2018.",1864
Megalopyge,genus,artfakta.se,,0
Thagona,genus,butterfliesandmoths.org,,0
Thagona,genus,wikipedia.org,"Thagona is a genus of moths in the subfamily Lymantriinae. The genus was erected by Heinrich Benno Möschler in 1883.


== Species ==
Thagona amalita (Schaus, 1921) southern Brazil
Thagona begga (Stoll, [1781]) Suriname
Thagona bilinea (Schaus, 1904) Guyana
Thagona caramata (Dognin, 1920) Ecuador
Thagona crassilinea (Dognin, 1923) French Guiana
Thagona distincta (H. Druce, 1906) Peru
Thagona elmira Schaus, 1927 Bolivia
Thagona errans (Schaus, 1920) Guatemala
Thagona fusca (H. Druce, 1906) Peru
Thagona grisea (Schaus, 1896) São Paulo in Brazil
Thagona hedila (H. Druce, 1906) Peru
Thagona impura (Schaus, 1896) São Paulo in Brazil
Thagona limula (Dognin, 1923) Amazonas in Brazil
Thagona lojana Schaus, 1927 Ecuador
Thagona mentor (Dyar, 1910) French Guiana
Thagona modificata (H. Druce, 1906) Peru
Thagona nigrisparsus (Butler, 1878) Amazonas in Brazil
Thagona nivea (Stoll, [1780]) Suriname
Thagona nox (H. Druce, 1906) Peru
Thagona ochreata (Schaus, 1915) southern Brazil
Thagona parmata (H. Druce, 1906) Brazil
Thagona partalba (Schaus, 1915) southern Brazil
Thagona parthenica (Dyar, 1910) Guyana
Thagona persimilis Draudt, 1927
Thagona postropaea (Dyar, 1914) French Guiana
Thagona punctifimbriata (Dognin, 1923) Colombia
Thagona punctuada (Dognin, 1894) Ecuador
Thagona pura (Walker, 1856) Panama, Amazonas in Brazil
Thagona roseidorsum (Schaus, 1915) south-eastern Brazil
Thagona rufidorsata (H. Druce, 1906) Peru
Thagona suppura (Dyar, 1910) French Guiana
Thagona tarsalis (Walker, 1855) Pará in Brazil
Thagona taus (Dyar, 1910) French Guiana
Thagona tibialis (Walker, 1855) Guatemala, Honduras, Panama
Thagona unicolor (Schaus, 1920) Paraná in Brazil
Thagona uniformis Möschler, 1883 Suriname, French Guiana
Thagona unilinea (Dognin, 1916) Guyana, Amazonas in Brazil
Thagona votis (Schaus, 1920) Guatemala


== References ==",1838
Thagona,genus,artfakta.se,,0
Sarsina,genus,butterfliesandmoths.org,,0
Sarsina,genus,wikipedia.org,"Sarsina  (Romagnol: Sêrsna) is an Italian town situated in the  province of Forlì-Cesena, Emilia-Romagna, northern Italy. Its territory is included in the Tuscan-Romagnolo Apennines.


== History ==
Ancient Sarsina or Sassina was a town of the Umbri. In 266 BC Roman consuls celebrated a triumph over the Sassinates.  It is mentioned in the Fasti, and in the enumeration of the Italian allies of the Romans in 225 BCE the Umbri and Sassinates are mentioned, on an equal footing, as providing 20,000 men between them. It is possible that the tribus Sapinia (the name of which is derived from the river Sapis) mentioned by Livy in the account of the Roman marches against the Boii in 201 BC and 196 BC formed a part of the Sassinates.
The playwright Plautus was native of Sassina. The town had a strategic importance, as inscriptions,  preserved in the local museum, show. Its milk is frequently mentioned; it was the centre of a pasture district and it provided a number of recruits for the Praetorian Guard. 
In the 10th century the bishops obtained the temporal sovereignty of the city and the surrounding district, which thus became a prince-bishopric. From 1327 until 1400 it was disputed for by the Ordelaffi of Forlì, the popes and the bishops. In the fifteenth century it was subject in turn to the Malatesta family of Cesena, and then to the Malatesta branch of Rimini, from whom it was taken by Cesare Borgia (1500–03), on whose death it was captured by the Venetians (1503–09).
In 1518 it was enfeoffed to the Pio di Meldola, passing later to the Aldobrandini.


== Main sights ==
The city contains remains of several ancient buildings, one of which probably was the public baths. Furthermore, remains of temples and fortifications have been found, as well as a number of urns, pillars, bronze objects, etc.
The Sarsina cathedral was probably constructed around the years 1000–08, has been chosen as its official year of construction, so that there were festivities in 2008.
Ennio Morricone on 25 August 2008 conducted his newest composition Vuoto d'anima piena, a work for vocals, an orchestra of 40 and a choir of 60 persons, in the cathedral-basilica for the first time. The text is based on texts by the Persian mystic Rumi.
The adjacent Sanctuary of San Vicinio (Saint Vicinius)  is a place of veneration.


== Economy ==
Besides agriculture and cattle breeding, the principal employments of the population are the sulphur and manganese industries. There are some charcoal deposits and sulphur springs.


== Twin towns ==
 Grebenstein, Germany
 Lezoux, France
 Lopik, the Netherlands


== See also ==
Bishopric of Sassina


== Sources ==
 This article incorporates text from a publication now in the public domain: Herbermann, Charles, ed. (1913). ""Sarsina"". Catholic Encyclopedia. New York: Robert Appleton Company.
This article incorporates text from a publication now in the public domain: Chisholm, Hugh, ed. (1911). ""Sassina"". Encyclopædia Britannica. Vol. 24 (11th ed.). Cambridge University Press. p. 227.


== References ==


== External links ==
Official website
City of Sarsina",3101
Sarsina,genus,artfakta.se,,0
Orgyia,genus,butterfliesandmoths.org,,0
Orgyia,genus,wikipedia.org,"The male flies during the day. Its palpi are short, porrect (extending forward), and heavily fringed with hair. The antennae have long branches and long spines at the extremities. The legs are heavily hairy. The abdomen has a dorsal tuft on its second segment. The forewing has vein 9 arising from vein 10 and anastomosing with vein 8 to form an areole. The hindwing has veins 3 and 4 from angle of cell, vein 5 from just above angle, and vein 6 and 7 stalked.
In the female, the palpi and legs are less hairy. The antennae are serrate. The wings are aborted, scale-like and covered with hair. The abdomen is covered with hair and immensely dilated when full of eggs.",667
Orgyia,genus,artfakta.se,"Detta släkte består av ganska små arter där honorna delvis saknar vingar (flera tropiska arter) eller helt saknar funktionella vingar och bara har mycket korta vinglappar (alla arter i tempererade områden). Hos åtminstone en art, ljungtofsspinnare Orgyia antiquoides, tillbringar honan hela sitt liv i kokongen och kryper inte ut ur den ens inför parningen. Hanarna är hos många arter tecknade i brunt, men det finns också arter med gula och svartaktiga färger. Flertalet arter är aktiva på dagen i solsken och flyger i en ganska snabb, kastande flykt, hos några i en mycket snabb flykt. Genitalierna hos hanarna har en lång stavlik uncus, och de ganska långa genitalklaffarna är hos de flesta arterna djupt delade med varje del lika lång. Larverna är tecknade i vackra färger och har fyra täta hårpenslar på ryggen och ett par framåtsträckta penslar och en längre, bakåtriktad pensel. Släktet förekommer i Gamla världen, både i nordliga områden och i de tropiska delarna av Indoaustralien och söderut till Australien, och dessutom Nordamerika. Totalt innehåller det åtminstone 30 arter varav ungefär 10 förekommer i Nordamerika. I Palearktis förekommer knappt 15 arter och i Europa åtta.",1188
Mimallo,genus,butterfliesandmoths.org,,0
Mimallo,genus,wikipedia.org,,0
Mimallo,genus,artfakta.se,,0
Cropia,genus,butterfliesandmoths.org,,0
Cropia,genus,wikipedia.org,"Cropia is a genus of moths of the family Noctuidae. The genus was erected by Francis Walker in 1858.


== Species ==
Cropia albiclava Draudt, 1925
Cropia aleuca Hampson, 1908
Cropia carnitincta Hampson, 1908
Cropia cedica (Stoll, [1782])
Cropia connecta (Smith, 1894)
Cropia consonens Dyar, 1910
Cropia europs Dyar, 1910
Cropia grandimacula (Schaus, 1911)
Cropia hadenoides Walker, [1858]
Cropia indigna (Walker, [1858])
Cropia infusa (Walker, [1858])
Cropia isidora Dyar, 1910
Cropia leucodonta Hampson, 1911
Cropia minthe (Druce, 1889)
Cropia perfusa Dyar, 1910
Cropia phila (Druce, 1889)
Cropia philosopha Schaus, 1911
Cropia plumbicincta Hampson, 1908
Cropia poliomera E. D. Jones, 1908
Cropia ruthaea Dyar, 1910
Cropia sigrida Schaus, 1933
Cropia subapicalis (Walker, [1858])
Cropia submarginalis Schaus, 1911
Cropia templada (Schaus, 1906)
Cropia tessellata (Sepp, [1840])


== References ==
Savela, Markku. ""Cropia Walker, 1858"". Lepidoptera and Some Other Life Forms. Retrieved September 29, 2019.
Pitkin, Brian & Jenkins, Paul. ""Search results Family: Noctuidae"". Butterflies and Moths of the World. Natural History Museum, London.",1140
Cropia,genus,artfakta.se,,0
Catabenoides,genus,butterfliesandmoths.org,,0
